,Symbol,Name,Sector,Industry,market,CIK
2023,KINZ,KINS Technology Group Inc. Warrant,Finance,Business Services,nasdaq,0001820875
2024,KIRK,Kirkland's Inc. COMMONSTOCK,Consumer Services,Other Specialty Stores,nasdaq,0001056285
2025,KLAC,KLA Corporation Common Stock,Capital Goods,Electronic Components,nasdaq,0000319201
2026,KLAQ,KL Acquisition Corp Class A Common Stock,Finance,Business Services,nasdaq,0001823323
2027,KLAQU,KL Acquisition Corp Unit,Finance,Business Services,nasdaq,0001823323
2028,KLAQW,KL Acquisition Corp Warrant,Finance,Business Services,nasdaq,0001823323
2029,KLDO,Kaleido Biosciences Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),nasdaq,0001751299
2030,KLIC,Kulicke and Soffa Industries Inc. Common Stock,Technology,Semiconductors,nasdaq,0000056978
2031,KLXE,KLX Energy Services Holdings Inc. Common Stock,Energy,Oilfield Services/Equipment,nasdaq,0001738827
2032,KMDA,Kamada Ltd. Ordinary Shares,Health Care,Major Pharmaceuticals,nasdaq,0001567529
2033,KMPH,KemPharm Inc. Common Stock,Health Care,Major Pharmaceuticals,nasdaq,0001434647
2034,KNDI,Kandi Technologies Group Inc Common Stock,Capital Goods,Auto Manufacturing,nasdaq,0001316517
2035,KNSA,Kiniksa Pharmaceuticals Ltd. Class A Common Stock,Health Care,Major Pharmaceuticals,nasdaq,0001730430
2036,KNSL,Kinsale Capital Group Inc. Common Stock,Finance,Property-Casualty Insurers,nasdaq,0001669162
2037,KNTE,Kinnate Biopharma Inc. Common Stock,Health Care,Major Pharmaceuticals,nasdaq,0001797768
2038,KOD,Kodiak Sciences Inc Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),nasdaq,0001468748
2039,KOPN,Kopin Corporation Common Stock,Technology,Semiconductors,nasdaq,0000771266
2040,KOR,Corvus Gold Inc. Common Shares,Basic Industries,Precious Metals,nasdaq,0001507964
2041,KOSS,Koss Corporation Common Stock,Consumer Non-Durables,Consumer Electronics/Appliances,nasdaq,0000056701
2042,KPTI,Karyopharm Therapeutics Inc. Common Stock,Health Care,Major Pharmaceuticals,nasdaq,0001503802
2043,KRBP,Kiromic BioPharma Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),nasdaq,0001792581
2044,KRKR,36Kr Holdings Inc. American Depositary Shares,Miscellaneous,Business Services,nasdaq,0001779476
2045,KRMD,Repro Med Systems Inc. Common Stock,Health Care,Medical/Dental Instruments,nasdaq,0000704440
2046,KRNL,Kernel Group Holdings Inc. Class A Ordinary Shares,Finance,Business Services,nasdaq,0001832950
2047,KRNLU,Kernel Group Holdings Inc. Units,Finance,Business Services,nasdaq,0001832950
2048,KRNLW,Kernel Group Holdings Inc. Warrants,Finance,Business Services,nasdaq,0001832950
2049,KRNT,Kornit Digital Ltd. Ordinary Shares,Capital Goods,Industrial Machinery/Components,nasdaq,0001625791
2050,KRNY,Kearny Financial Corp Common Stock,Finance,Savings Institutions,nasdaq,0001617242
2051,KRON,Kronos Bio Inc. Common Stock,Health Care,Major Pharmaceuticals,nasdaq,0001741830
2052,KROS,Keros Therapeutics Inc. Common Stock,Health Care,Major Pharmaceuticals,nasdaq,0001664710
2053,KRTX,Karuna Therapeutics Inc. Common Stock,Health Care,Major Pharmaceuticals,nasdaq,0001771917
2054,KRUS,Kura Sushi USA Inc. Class A Common Stock,Consumer Services,Restaurants,nasdaq,0001772177
2055,KRYS,Krystal Biotech Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),nasdaq,0001711279
2056,KSICU,Kadem Sustainable Impact Corporation Unit,Finance,Business Services,nasdaq,0001843351
2057,KSMT,Kismet Acquisition One Corp Ordinary Shares,Finance,Business Services,nasdaq,0001814824
2058,KSMTU,Kismet Acquisition One Corp Unit,Finance,Business Services,nasdaq,0001814824
2059,KSMTW,Kismet Acquisition One Corp Warrant,Finance,Business Services,nasdaq,0001814824
2060,KSPN,Kaspien Holdings Inc. Common Stock,Consumer Services,Consumer Electronics/Video Chains,nasdaq,0000795212
2061,KTCC,Key Tronic Corporation Common Stock,Technology,Electrical Products,nasdaq,0000719733
2062,KTOS,Kratos Defense & Security Solutions Inc. Common Stock,Capital Goods,Military/Government/Technical,nasdaq,0001069258
2063,KTRA,Kintara Therapeutics Inc. Common Stock,Health Care,Major Pharmaceuticals,nasdaq,0001498382
2064,KURA,Kura Oncology Inc. Common Stock,Health Care,Major Pharmaceuticals,nasdaq,0001422143
2065,KURI,Alkuri Global Acquisition Corp. Class A common stock,,,nasdaq,0001836967
2066,KURIU,Alkuri Global Acquisition Corp. Unit,Finance,Business Services,nasdaq,0001836967
2067,KVHI,KVH Industries Inc. Common Stock,Technology,Radio And Television Broadcasting And Communications Equipment,nasdaq,0001007587
2068,KVSA,Khosla Ventures Acquisition Co. Class A Common Stock,Finance,Business Services,nasdaq,0001841873
2069,KVSB,Khosla Ventures Acquisition Co. II Class A Common Stock,Finance,Business Services,nasdaq,0001846069
2070,KVSC,Khosla Ventures Acquisition Co. III Class A Common Stock,Finance,Business Services,nasdaq,0001846068
2071,KXIN,Kaixin Auto Holdings Ordinary Share,Consumer Durables,Automotive Aftermarket,nasdaq,0001713539
2072,KYMR,Kymera Therapeutics Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),nasdaq,0001815442
2073,KZIA,Kazia Therapeutics Limited American Depositary Shares,Health Care,Major Pharmaceuticals,nasdaq,0001075880
2074,KZR,Kezar Life Sciences Inc. Common Stock,Health Care,Major Pharmaceuticals,nasdaq,0001645666
2075,LABP,Landos Biopharma Inc. Common Stock,Health Care,Major Pharmaceuticals,nasdaq,0001785345
2076,LACQ,Leisure Acquisition Corp. Common Stock,Finance,Business Services,nasdaq,0001716947
2077,LACQW,Leisure Acquisition Corp. Warrant,Finance,Business Services,nasdaq,0001716947
2078,LAKE,Lakeland Industries Inc. Common Stock,Health Care,Industrial Specialties,nasdaq,0000798081
2079,LAMR,Lamar Advertising Company Class A Common Stock,Consumer Services,Real Estate Investment Trusts,nasdaq,0001090425
2080,LANC,Lancaster Colony Corporation Common Stock,Consumer Non-Durables,Packaged Foods,nasdaq,0000057515
2081,LAND,Gladstone Land Corporation Common Stock,Consumer Services,Real Estate Investment Trusts,nasdaq,0001495240
2082,LANDM,Gladstone Land Corporation 5.00% Series D Cumulative Term Preferred Stock,Consumer Services,Real Estate Investment Trusts,nasdaq,0001495240
2083,LANDO,Gladstone Land Corporation 6.00% Series B Cumulative Redeemable Preferred Stock,Consumer Services,Real Estate Investment Trusts,nasdaq,0001495240
2084,LARK,Landmark Bancorp Inc. Common Stock,Finance,Major Banks,nasdaq,0001141688
2085,LASR,nLIGHT Inc. Common Stock,Technology,Semiconductors,nasdaq,0001124796
2086,LATN,Union Acquisition Corp. II Ordinary Shares,Finance,Business Services,nasdaq,0001766146
2087,LATNU,Union Acquisition Corp. II Units containing one ordinary share and one redeemable warrant,Finance,Business Services,nasdaq,0001766146
2088,LATNW,Union Acquisition Corp. II Warrant,Finance,Business Services,nasdaq,0001766146
2089,LAUR,Laureate Education Inc. Class A Common Stock,Consumer Services,Other Consumer Services,nasdaq,0000912766
2090,LAWS,Lawson Products Inc. Common Stock,Consumer Durables,Industrial Specialties,nasdaq,0000703604
2091,LAZR,Luminar Technologies Inc.  Class A Common Stock,Capital Goods,Auto Parts:O.E.M.,nasdaq,0001758057
2092,LAZY,Lazydays Holdings Inc. Common Stock,Consumer Durables,Automotive Aftermarket,nasdaq,0001721741
2093,LBAI,Lakeland Bancorp Inc. Common Stock,Finance,Major Banks,nasdaq,0000846901
2094,LBC,Luther Burbank Corporation Common Stock,Finance,Major Banks,nasdaq,0001475348
2095,LBPH,Longboard Pharmaceuticals Inc. Common Stock,Health Care,Major Pharmaceuticals,nasdaq,0001832168
2096,LBPS,4D pharma plc American Depositary Shares,Health Care,Major Pharmaceuticals,nasdaq,0001830162
2097,LB,4D pharma plc Warrant,Health Care,Major Pharmaceuticals,nasdaq,0000701985
2098,LBRDA,Liberty Broadband Corporation Class A Common Stock,Consumer Services,Television Services,nasdaq,0001611983
2099,LBRDK,Liberty Broadband Corporation Class C Common Stock,Consumer Services,Television Services,nasdaq,0001611983
2100,LBRDP,Liberty Broadband Corporation Series A Cumulative Redeemable Preferred Stock,Public Utilities,Telecommunications Equipment,nasdaq,0001611983
2101,LBTYA,Liberty Global plc Class A Ordinary Shares,,,nasdaq,0001570585
2102,LBTYB,Liberty Global plc Class B Ordinary Shares,Consumer Services,Television Services,nasdaq,0001570585
2103,LBTYK,Liberty Global plc Class C Ordinary Shares,,,nasdaq,0001570585
2104,LCAAU,L Catterton Asia Acquisition Corp Units,Finance,Business Services,nasdaq,0001841024
2105,LCAHU,Landcadia Holdings IV Inc. Units,Finance,Business Services,nasdaq,0001844642
2106,LCAP,Lionheart Acquisition Corp. II Class A Common Stock,Finance,Business Services,nasdaq,0001802450
2107,LCAPU,Lionheart Acquisition Corp. II Unit,Finance,Business Services,nasdaq,0001802450
2108,LCA,Lionheart Acquisition Corp. II Warrant,Finance,Business Services,nasdaq,0001844642
2109,LCNB,LCNB Corporation Common Stock,Finance,Major Banks,nasdaq,0001074902
2110,LCUT,Lifetime Brands Inc. Common Stock,Capital Goods,Industrial Machinery/Components,nasdaq,0000874396
2111,LCY,Landcadia Holdings III Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software,nasdaq,0001822492
2112,LCYAU,Landcadia Holdings III Inc. Unit ,Capital Goods,Industrial Machinery/Components,nasdaq,0001822492
2113,LCYAW,Landcadia Holdings III Inc. Warrant,Capital Goods,Industrial Machinery/Components,nasdaq,0001822492
2114,LDHAU,LDH Growth Corp I Units,Finance,Business Services,nasdaq,0001842373
2115,LE,Lands' End Inc. Common Stock,Consumer Services,Clothing/Shoe/Accessory Stores,nasdaq,0000799288
2116,LECO,Lincoln Electric Holdings Inc. Common Shares,Technology,Industrial Machinery/Components,nasdaq,0000059527
2117,LEDS,SemiLEDS Corporation Common Stock,Technology,Semiconductors,nasdaq,0001333822
2118,LEGAU,Lead Edge Growth Opportunities Ltd Units,Finance,Business Services,nasdaq,0001834628
2119,LEGH,Legacy Housing Corporation Common Stock (TX),Basic Industries,Homebuilding,nasdaq,0001436208
2120,LEGN,Legend Biotech Corporation American Depositary Shares,Health Care,Major Pharmaceuticals,nasdaq,0001801198
2121,LEGO,Legato Merger Corp. Common stock,Finance,Business Services,nasdaq,0001820272
2122,LEGOU,Legato Merger Corp. Units,Finance,Business Services,nasdaq,0001820272
2123,LEGOW,Legato Merger Corp. Warrant,Finance,Business Services,nasdaq,0001820272
2124,LESL,Leslie's Inc. Common Stock,Consumer Services,Other Specialty Stores,nasdaq,0001821806
2125,LEVL,Level One Bancorp Inc. Common Stock,Finance,Major Banks,nasdaq,0001412707
2126,LEVLP,Level One Bancorp Inc. Depositary Shares Each Representing a 1/100th Interest in a Share of 7.50% Non-Cumulative Perpetual Preferred Stock Series B,Finance,Major Banks,nasdaq,0001412707
2127,LE,Lexaria Bioscience Corp. Common Stock,Health Care,Major Pharmaceuticals,nasdaq,0000799288
2128,LEXXW,Lexaria Bioscience Corp. Warrant,Health Care,Major Pharmaceuticals,nasdaq,0001348362
2129,LFMD,LifeMD Inc. Common Stock,Health Care,Medical/Nursing Services,nasdaq,0000948320
2130,LFTR,Lefteris Acquisition Corp. Class A Common Stock,Finance,Business Services,nasdaq,0001822873
2131,LFTRU,Lefteris Acquisition Corp. Unit,Finance,Business Services,nasdaq,0001822873
2132,LFTRW,Lefteris Acquisition Corp. Warrant,Finance,Business Services,nasdaq,0001822873
2133,LFUS,Littelfuse Inc. Common Stock,Consumer Durables,Electrical Products,nasdaq,0000889331
2134,LFVN,Lifevantage Corporation Common Stock (Delaware),Health Care,Major Pharmaceuticals,nasdaq,0000849146
2135,LGACU,Lazard Growth Acquisition Corp. I Units,Finance,Business Services,nasdaq,0001836337
2136,LGHL,Lion Group Holding Ltd. American Depositary Share,Finance,Investment Bankers/Brokers/Service,nasdaq,0001806524
2137,LGHLW,Lion Group Holding Ltd. Warrant,Finance,Investment Bankers/Brokers/Service,nasdaq,0001806524
2138,LGIH,LGI Homes Inc. Common Stock,Capital Goods,Homebuilding,nasdaq,0001580670
2139,LGND,Ligand Pharmaceuticals Incorporated Common Stock,Health Care,Major Pharmaceuticals,nasdaq,0000886163
2140,LGVN,Longeveron Inc. Class A Common Stock,Health Care,Major Pharmaceuticals,nasdaq,0001721484
2141,LHAA,Lerer Hippeau Acquisition Corp. Class A Common Stock,Finance,Business Services,nasdaq,0001841948
2142,LHCG,LHC Group Common Stock,Health Care,Medical/Nursing Services,nasdaq,0001303313
2143,LHDX,Lucira Health Inc. Common Stock,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,nasdaq,0001652724
2144,LI,Li Auto Inc. American Depositary Shares,Capital Goods,Auto Manufacturing,nasdaq,0001791706
2145,LIFE,aTyr Pharma Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),nasdaq,0001339970
2146,LILA,Liberty Latin America Ltd. Class A Common Stock,Consumer Services,Television Services,nasdaq,0001712184
2147,LILAK,Liberty Latin America Ltd. Class C Common Stock,Consumer Services,Television Services,nasdaq,0001712184
2148,LINC,Lincoln Educational Services Corporation Common Stock,Consumer Services,Other Consumer Services,nasdaq,0001286613
2149,LIND,Lindblad Expeditions Holdings Inc. Common Stock,Consumer Services,Transportation Services,nasdaq,0001512499
2150,LINK,Interlink Electronics Inc. Common Stock,Technology,Computer peripheral equipment,nasdaq,0000828146
2151,LIQT,LiqTech International Inc. Common Stock,Technology,Industrial Machinery/Components,nasdaq,0001307579
2152,LITE,Lumentum Holdings Inc. Common Stock,Capital Goods,Telecommunications Equipment,nasdaq,0001633978
2153,LIVE,Live Ventures Incorporated Common Stock,Consumer Services,Other Specialty Stores,nasdaq,0001045742
2154,LIVK,LIV Capital Acquisition Corp. Class A Ordinary Shares,Finance,Business Services,nasdaq,0001790625
2155,LIVKW,LIV Capital Acquisition Corp. Warrant,Finance,Business Services,nasdaq,0001790625
2156,LIVN,LivaNova PLC Ordinary Shares,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,nasdaq,0001639691
2157,LIVX,LiveXLive Media Inc. Common Stock,Consumer Services,Restaurants,nasdaq,0001491419
2158,LIXT,Lixte Biotechnology Holdings Inc. Common Stock,Health Care,Major Pharmaceuticals,nasdaq,0001335105
2159,LIXTW,Lixte Biotechnology Holdings Inc. Warrants,Health Care,Major Pharmaceuticals,nasdaq,0001335105
2160,LIZI,LIZHI INC. American Depositary Shares,Technology,Computer Software: Programming Data Processing,nasdaq,0001783407
2161,L,LightJump Acquisition Corporation Common Stock,Finance,Business Services,nasdaq,0000060086
2162,L,LightJump Acquisition Corporation Unit,Finance,Business Services,nasdaq,0000060086
2163,L,LightJump Acquisition Corporation Warrant,Finance,Business Services,nasdaq,0000060086
2164,LJPC,La Jolla Pharmaceutical Company Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),nasdaq,0000920465
2165,LKCO,Luokung Technology Corp Ordinary Shares,Technology,EDP Services,nasdaq,0001487839
2166,LKFN,Lakeland Financial Corporation Common Stock,Finance,Major Banks,nasdaq,0000721994
2167,LKQ,LKQ Corporation Common Stock,Consumer Services,Motor Vehicles,nasdaq,0001065696
2168,LLIT,Lianluo Smart Limited Class A Common Stock,Consumer Services,Other Specialty Stores,nasdaq,0001474627
2169,LLNW,Limelight Networks Inc. Common Stock,Miscellaneous,Business Services,nasdaq,0001391127
2170,LMACA,Liberty Media Acquisition Corporation Series A Common Stock,Finance,Business Services,nasdaq,0001831992
2171,LMACU,Liberty Media Acquisition Corporation Unit,Finance,Business Services,nasdaq,0001831992
2172,LMACW,Liberty Media Acquisition Corporation Warrants,Finance,Business Services,nasdaq,0001831992
2173,LMAO,LMF Acquisition Opportunities Inc. Class A common stock,Finance,Business Services,nasdaq,0001831868
2174,LMAOU,LMF Acquisition Opportunities Inc. Unit,Finance,Business Services,nasdaq,0001831868
2175,LMAOW,LMF Acquisition Opportunities Inc. Warrant,Finance,Business Services,nasdaq,0001831868
2176,LMAT,LeMaitre Vascular Inc. Common Stock,Health Care,Medical/Dental Instruments,nasdaq,0001158895
2177,LMB,Limbach Holdings Inc. Common Stock,Basic Industries,Engineering & Construction,nasdaq,0001606163
2178,LMFA,LM Funding America Inc. Common Stock,Finance,Finance: Consumer Services,nasdaq,0001640384
2179,LMNL,Liminal BioSciences Inc. Common Shares,Health Care,Major Pharmaceuticals,nasdaq,0001351172
2180,LMNR,Limoneira Co Common Stock,Consumer Non-Durables,Farming/Seeds/Milling,nasdaq,0001342423
2181,LMNX,Luminex Corporation Common Stock,Health Care,Medical/Dental Instruments,nasdaq,0001033905
2182,LMPX,LMP Automotive Holdings Inc. Common Stock,Consumer Durables,Automotive Aftermarket,nasdaq,0001731727
2183,LMRK,Landmark Infrastructure Partners LP Common Units,Consumer Services,Real Estate,nasdaq,0001615346
2184,LMRKN,Landmark Infrastructure Partners LP 7% Series C Fltg/Fxd Perpetual Conv Preferred Stock,Consumer Services,Real Estate,nasdaq,0001615346
2185,LMRKO,Landmark Infrastructure Partners LP Perpetual Preferred Units Series B 7.90%,Consumer Services,Real Estate,nasdaq,0001615346
2186,LMRKP,Landmark Infrastructure Partners LP 8.00% Series A Cumulative Redeemable Perpetual Preferred Units,Consumer Services,Real Estate,nasdaq,0001615346
2187,LMST,Limestone Bancorp Inc. Common Stock,Finance,Major Banks,nasdaq,0001358356
2188,LNDC,Landec Corporation Common Stock (DE),Consumer Non-Durables,Packaged Foods,nasdaq,0001005286
2189,LNSR,LENSAR Inc. Common Stock,Health Care,Medical/Dental Instruments,nasdaq,0001320350
2190,LNT,Alliant Energy Corporation Common Stock,Public Utilities,Power Generation,nasdaq,0000352541
2191,LNTH,Lantheus Holdings Inc. Common Stock,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,nasdaq,0001521036
2192,LOAN,Manhattan Bridge Capital Inc,Consumer Services,Real Estate Investment Trusts,nasdaq,0001080340
2193,LOB,Live Oak Bancshares Inc. Common Stock,Finance,Major Banks,nasdaq,0001462120
2194,LOCO,El Pollo Loco Holdings Inc. Common Stock,Consumer Services,Restaurants,nasdaq,0001606366
2195,LOGC,LogicBio Therapeutics Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),nasdaq,0001664106
2196,LOGI,Logitech International S.A. Ordinary Shares,Technology,Computer peripheral equipment,nasdaq,0001032975
2197,LOOP,Loop Industries Inc. Common Stock,Basic Industries,Major Chemicals,nasdaq,0001504678
2198,LOPE,Grand Canyon Education Inc. Common Stock,Consumer Services,Other Consumer Services,nasdaq,0001434588
2199,LORL,Loral Space and Communications Inc. Common Stock,Technology,Radio And Television Broadcasting And Communications Equipment,nasdaq,0001006269
2200,LOTZ,CarLotz Inc. Class A Common Stock,Consumer Durables,Automotive Aftermarket,nasdaq,0001759008
2201,LOTZW,CarLotz Inc. Warrant,Consumer Durables,Automotive Aftermarket,nasdaq,0001759008
2202,LOVE,The Lovesac Company Common Stock,Consumer Services,Other Specialty Stores,nasdaq,0001701758
2203,LPCN,Lipocine Inc. Common Stock,Health Care,Major Pharmaceuticals,nasdaq,0001535955
2204,LPLA,LPL Financial Holdings Inc. Common Stock,Finance,Investment Bankers/Brokers/Service,nasdaq,0001397911
2205,LPRO,Open Lending Corporation Class A Common Stock,Finance,Finance: Consumer Services,nasdaq,0001806201
2206,LPSN,LivePerson Inc. Common Stock,Technology,Computer Software: Prepackaged Software,nasdaq,0001102993
2207,LPTH,LightPath Technologies Inc. Class A Common Stock,Technology,Semiconductors,nasdaq,0000889971
2208,LPTX,Leap Therapeutics Inc. Common Stock,Health Care,Major Pharmaceuticals,nasdaq,0001509745
2209,LQDA,Liquidia Corporation Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),nasdaq,0001819576
2210,LQDT,Liquidity Services Inc. Common Stock,Miscellaneous,Business Services,nasdaq,0001235468
2211,LRCX,Lam Research Corporation Common Stock,Technology,Industrial Machinery/Components,nasdaq,0000707549
2212,LRMR,Larimar Therapeutics Inc. Common Stock,Health Care,Major Pharmaceuticals,nasdaq,0001374690
2213,LSAQ,LifeSci Acquisition II Corp. Common Stock,Finance,Business Services,nasdaq,0001819113
2214,LSBK,Lake Shore Bancorp Inc. Common Stock,Finance,Savings Institutions,nasdaq,0001341318
2215,LSCC,Lattice Semiconductor Corporation Common Stock,Technology,Semiconductors,nasdaq,0000855658
2216,LSEA,Landsea Homes Corporation Common Stock,Capital Goods,Homebuilding,nasdaq,0001721386
2217,LSEAW,Landsea Homes Corporation Warrant,Capital Goods,Homebuilding,nasdaq,0001721386
2218,LSTR,Landstar System Inc. Common Stock,Transportation,Trucking Freight/Courier Services,nasdaq,0000853816
2219,LSXMA,Liberty Media Corporation Series A Liberty SiriusXM Common Stock,Consumer Services,Broadcasting,nasdaq,0001560385
2220,LSXMB,Liberty Media Corporation Series B Liberty SiriusXM Common Stock,Consumer Services,Broadcasting,nasdaq,0001560385
2221,LSXMK,Liberty Media Corporation Series C Liberty SiriusXM Common Stock,Consumer Services,Broadcasting,nasdaq,0001560385
2222,LTBR,Lightbridge Corporation Common Stock,Consumer Services,Professional Services,nasdaq,0001084554
2223,LTRN,Lantern Pharma Inc. Common Stock,Health Care,Major Pharmaceuticals,nasdaq,0001763950
2224,LTRPA,Liberty TripAdvisor Holdings Inc. Series A Common Stock,Technology,EDP Services,nasdaq,0001606745
2225,LTRPB,Liberty TripAdvisor Holdings Inc. Series B Common Stock,Technology,EDP Services,nasdaq,0001606745
2226,LTRX,Lantronix Inc. Common Stock,Technology,Computer Communications Equipment,nasdaq,0001114925
2227,LULU,lululemon athletica inc. Common Stock,Consumer Non-Durables,Apparel,nasdaq,0001397187
2228,LUMO,Lumos Pharma Inc. Common Stock,Health Care,Major Pharmaceuticals,nasdaq,0001126234
2229,LUNA,Luna Innovations Incorporated Common Stock,Health Care,Biotechnology: Commercial Physical & Biological Resarch,nasdaq,0001239819
2230,LUNG,Pulmonx Corporation Common Stock,Health Care,Medical/Dental Instruments,nasdaq,0001127537
2231,LUXA,Lux Health Tech Acquisition Corp. Class A Common Stock,Finance,Business Services,nasdaq,0001823767
2232,LUXAU,Lux Health Tech Acquisition Corp. Units,Finance,Business Services,nasdaq,0001823767
2233,LUXAW,Lux Health Tech Acquisition Corp. Warrants,Finance,Business Services,nasdaq,0001823767
2234,LVRAU,Levere Holdings Corp. Unit,Finance,Business Services,nasdaq,0001841383
2235,LVTX,LAVA Therapeutics N.V. Ordinary Shares,Health Care,Major Pharmaceuticals,nasdaq,0001840748
2236,L,Locust Walk Acquisition Corp. Class A Common Stock,Finance,Business Services,nasdaq,0000060086
2237,LW,Locust Walk Acquisition Corp. Unit,Finance,Business Services,nasdaq,0001679273
2238,LW,Locust Walk Acquisition Corp. Warrant,Finance,Business Services,nasdaq,0001679273
2239,LWAY,Lifeway Foods Inc. Common Stock,Consumer Non-Durables,Packaged Foods,nasdaq,0000814586
2240,LX,LexinFintech Holdings Ltd. American Depositary Shares,Finance,Finance: Consumer Services,nasdaq,0001708259
2241,LXEH,Lixiang Education Holding Co. Ltd. American Depositary Shares,Consumer Services,Other Consumer Services,nasdaq,0001814067
2242,LXRX,Lexicon Pharmaceuticals Inc. Common Stock,Health Care,Major Pharmaceuticals,nasdaq,0001062822
2243,LYFT,Lyft Inc. Class A Common Stock,Miscellaneous,Business Services,nasdaq,0001759509
2244,LYL,Dragon Victory International Limited Ordinary Shares,Finance,Finance/Investors Services,nasdaq,0001682241
2245,LYRA,Lyra Therapeutics Inc. Common Stock,Health Care,Medical/Dental Instruments,nasdaq,0001327273
2246,LYTS,LSI Industries Inc. Common Stock,Consumer Durables,Building Products,nasdaq,0000763532
2247,MAAC,Montes Archimedes Acquisition Corp. Class A Common Stock,Finance,Business Services,nasdaq,0001819263
2248,MAACU,Montes Archimedes Acquisition Corp. Unit,Finance,Business Services,nasdaq,0001819263
2249,MAAC,Montes Archimedes Acquisition Corp. Warrant,Finance,Business Services,nasdaq,0001819263
2250,MACAU,Moringa Acquisition Corp Units,Finance,Business Services,nasdaq,0001835416
2251,MACK,Merrimack Pharmaceuticals Inc. Common Stock,Health Care,Major Pharmaceuticals,nasdaq,0001274792
2252,MACQU,MCAP Acquisition Corporation Unit,Finance,Business Services,nasdaq,0001838672
2253,MACU,Mallard Acquisition Corp. Common stock,Finance,Business Services,nasdaq,0001805795
2254,MACUW,Mallard Acquisition Corp. Warrant,Finance,Business Services,nasdaq,0001805795
2255,MAGS,Magal Security Systems Ltd. Ordinary Shares,Capital Goods,Telecommunications Equipment,nasdaq,0000896494
2256,MANH,Manhattan Associates Inc. Common Stock,Technology,Computer Software: Prepackaged Software,nasdaq,0001056696
2257,MANT,ManTech International Corporation Common Stock $0.01 Par Value,Consumer Services,Other Consumer Services,nasdaq,0000892537
2258,MAR,Marriott International Class A Common Stock,Consumer Services,Hotels/Resorts,nasdaq,0001048286
2259,MARA,Marathon Digital Holdings Inc. Common Stock,Technology,EDP Services,nasdaq,0001507605
2260,MARK,Remark Holdings Inc. Common Stock,Consumer Services,Telecommunications Equipment,nasdaq,0001368365
2261,MARPS,Marine Petroleum Trust Units of Beneficial Interest,Energy,Oil & Gas Production,nasdaq,0000062362
2262,MASI,Masimo Corporation Common Stock,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,nasdaq,0000937556
2263,MASS,908 Devices Inc. Common Stock,Capital Goods,Industrial Machinery/Components,nasdaq,0001555279
2264,MAT,Mattel Inc. Common Stock,Consumer Non-Durables,Recreational Products/Toys,nasdaq,0000063276
2265,MATW,Matthews International Corporation Class A Common Stock,Capital Goods,Metal Fabrications,nasdaq,0000063296
2266,MAXN,Maxeon Solar Technologies Ltd. Ordinary Shares,Technology,Semiconductors,nasdaq,0001796898
2267,MAYS,J. W. Mays Inc. Common Stock,Consumer Services,Building operators,nasdaq,0000054187
2268,MBCN,Middlefield Banc Corp. Common Stock,Finance,Major Banks,nasdaq,0000836147
2269,MBII,Marrone Bio Innovations Inc. Common Stock,Basic Industries,Agricultural Chemicals,nasdaq,0001441693
2270,MBIN,Merchants Bancorp Common Stock,Finance,Major Banks,nasdaq,0001629019
2271,MBINN,Merchants Bancorp Depositary Shares Preferred Series C,Finance,Major Banks,nasdaq,0001629019
2272,MBINO,Merchants Bancorp Depositary Shares Each Representing a 1/40th Interest in a Share of Series B  Fixed-to-Floating Rate,Finance,Major Banks,nasdaq,0001629019
2273,MBINP,Merchants Bancorp 7.00% Fixed-to-Floating Rate Series A Non-Cumulative Perpetual Preferred Stock,Finance,Major Banks,nasdaq,0001629019
2274,MBIO,Mustang Bio Inc. Common Stock,Health Care,Major Pharmaceuticals,nasdaq,0001680048
2275,M,Medallion Bank Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock Series F,,,nasdaq,0000794367
2276,MBOT,Microbot Medical Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),nasdaq,0000883975
2277,MBRX,Moleculin Biotech Inc. Common Stock,Health Care,Major Pharmaceuticals,nasdaq,0001659617
2278,MBTC,Nocturne Acquisition Corporation Unit,,,nasdaq,0001837344
2279,MBUU,Malibu Boats Inc. Class A Common Stock,Capital Goods,Marine Transportation,nasdaq,0001590976
2280,MBWM,Mercantile Bank Corporation Common Stock,Finance,Major Banks,nasdaq,0001042729
2281,MCAD,Mountain Crest Acquisition Corp. II Common Stock,Finance,Business Services,nasdaq,0001832415
2282,MCADR,Mountain Crest Acquisition Corp. II Right,Finance,Business Services,nasdaq,0001832415
